Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
02-Sep-25,Tuesday,September,Q3,2025,EQ,145200.0,155000.0,144185.0,144835.0,152870.0,153885.0,151571.7,155000.0,102124.1,32632.0,19818.0
01-Sep-25,Monday,September,Q3,2025,EQ,141100.0,145500.0,140955.0,140955.0,144940.0,144835.0,143369.8,153000.0,102124.1,6252.0,4318.0
29-Aug-25,Friday,August,Q3,2025,EQ,142000.0,142605.0,139900.0,142275.0,140000.0,140955.0,141224.6,153000.0,102124.1,7056.0,5210.0
28-Aug-25,Thursday,August,Q3,2025,EQ,142700.0,143490.0,141200.0,142380.0,142130.0,142275.0,142216.2,153000.0,102124.1,6106.0,4039.0
26-Aug-25,Tuesday,August,Q3,2025,EQ,146500.0,147020.0,141600.0,146745.0,142250.0,142380.0,143533.8,153000.0,102124.1,8941.0,6335.0
25-Aug-25,Monday,August,Q3,2025,EQ,148200.0,148200.0,146205.0,147505.0,146990.0,146745.0,146827.8,153000.0,102124.1,4631.0,2628.0
22-Aug-25,Friday,August,Q3,2025,EQ,148750.0,148750.0,147000.0,148125.0,147300.0,147505.0,147518.4,153000.0,102124.1,3011.0,2311.0
21-Aug-25,Thursday,August,Q3,2025,EQ,149530.0,150000.0,147465.0,148790.0,147805.0,148125.0,148221.8,153000.0,102124.1,5446.0,3494.0
20-Aug-25,Wednesday,August,Q3,2025,EQ,146500.0,149200.0,145860.0,146535.0,148100.0,148790.0,148283.6,153000.0,102124.1,6421.0,4548.0
19-Aug-25,Tuesday,August,Q3,2025,EQ,144500.0,148825.0,143250.0,144515.0,146400.0,146535.0,146783.9,153000.0,102124.1,18003.0,8034.0
18-Aug-25,Monday,August,Q3,2025,EQ,139100.0,145250.0,138755.0,138475.0,143500.0,144515.0,143086.1,153000.0,102124.1,12991.0,8903.0
14-Aug-25,Thursday,August,Q3,2025,EQ,139000.0,139750.0,137900.0,138840.0,138140.0,138475.0,138681.1,153000.0,102124.1,4133.0,3284.0
13-Aug-25,Wednesday,August,Q3,2025,EQ,141700.0,141700.0,138100.0,140535.0,138300.0,138840.0,139598.1,153000.0,102124.1,4360.0,3334.0
12-Aug-25,Tuesday,August,Q3,2025,EQ,142170.0,142695.0,137215.0,142170.0,140700.0,140535.0,140510.7,153000.0,102124.1,11861.0,7492.0
11-Aug-25,Monday,August,Q3,2025,EQ,142850.0,143485.0,141095.0,142715.0,141500.0,142170.0,142534.2,153000.0,102124.1,2920.0,2279.0
08-Aug-25,Friday,August,Q3,2025,EQ,144700.0,144700.0,142000.0,144265.0,142845.0,142715.0,143259.7,153000.0,102124.1,2851.0,2294.0
